technology,year,value
DGPV,2036,1132.333224
PV,2030,675.535
DGPV,2020,533.6235992
Battery,2033,690
PV,2017,110.935
Battery,2027,525
Battery,2045,2803
PV,2037,675.535
PV,2044,955.535
PV,2023,475.535
DGPV,2034,1051.977216
Battery,2029,525
Battery,2043,1278
DGPV,2026,742.7229953
DGPV,2024,668.6569867
Battery,2039,858
Bio,2021,222.92
DGPV,2025,705.515991
Fossil,2031,1130.5653
DGPV,2035,1092.00822
Battery,2040,1278
DGPV,2032,972.803145
Wind,2031,303
Bio,2019,222.92
DGPV,2022,596.0129782
Fossil,2038,1268.1825
Bio,2018,222.92
Wind,2038,303
Wind,2021,103
Fossil,2019,1501.521
Wind,2019,103
Fossil,2021,1501.521
Bio,2031,222.92
Battery,2042,1278
PV,2016,59.503
Wind,2018,103
Battery,2041,1278
PV,2028,675.535
Bio,2038,222.92
Fossil,2018,1351.521
Bio,2034,222.92
Fossil,2036,1268.1825
Wind,2036,303
Bio,2024,222.92
Battery,2028,525
Fossil,2020,1501.521
Bio,2026,222.92
PV,2041,955.535
Wind,2020,103
PV,2042,955.535
Battery,2016,70
Wind,2034,303
PV,2040,955.535
Bio,2036,222.92
Fossil,2034,1432.5653
Wind,2026,303
Wind,2024,103
Fossil,2024,1374.7101
Bio,2020,222.92
Fossil,2026,1417.4497
PV,2029,675.535
Wind,2032,303
Wind,2035,303
Battery,2023,496
Battery,2044,1278
Wind,2022,103
Fossil,2025,1374.7101
DGPV,2031,933.6741407
Wind,2025,303
Fossil,2022,1602.237
Fossil,2035,1268.1825
Fossil,2032,1432.5653
Battery,2037,858
PV,2039,675.535
DGPV,2038,1213.873233
PV,2043,955.535
Bio,2022,222.92
DGPV,2019,508.7319392
Bio,2035,222.92
Bio,2032,222.92
Battery,2030,690
DGPV,2021,575.3095572
Bio,2025,222.92
PV,2027,675.535
PV,2045,2135.535
PV,2033,675.535
DGPV,2018,480.7832692
Battery,2017,70
Fossil,2045,0
Fossil,2027,1417.4497
Wind,2033,303
DGPV,2016,405.5269738
Bio,2043,222.92
Bio,2039,222.92
Fossil,2033,1432.5653
Wind,2027,303
Wind,2045,333
DGPV,2028,818.1411279
Bio,2029,222.92
Fossil,2039,1096.72
Bio,2033,222.92
Wind,2043,303
Bio,2045,1317.84
Bio,2027,222.92
Fossil,2043,1096.72
Wind,2039,303
Fossil,2029,1300.0577
PV,2025,675.535
PV,2022,475.535
PV,2032,675.535
Wind,2029,303
PV,2035,675.535
Bio,2041,222.92
Bio,2042,222.92
PV,2024,475.535
PV,2026,675.535
Battery,2038,858
DGPV,2037,1172.952228
Fossil,2040,1096.72
Wind,2040,303
Battery,2031,690
PV,2034,675.535
DGPV,2044,1465.64332
DGPV,2023,632.1519825
DGPV,2017,456.127475
Wind,2042,303
Battery,2018,70
PV,2020,435.535
Wind,2041,303
Fossil,2041,1096.72
Fossil,2042,1096.72
DGPV,2030,894.8511364
PV,2036,675.535
Battery,2021,70
Battery,2019,70
Bio,2040,222.92
Fossil,2016,1318.101
Wind,2028,303
DGPV,2045,1508.660325
DGPV,2027,780.2661236
Battery,2020,70
Fossil,2028,1300.0577
PV,2018,235.535
Wind,2016,93
DGPV,2033,1012.240149
PV,2019,255.535
Battery,2036,858
PV,2021,435.535
PV,2038,675.535
Battery,2026,525
Bio,2028,222.92
DGPV,2039,1255.094237
Battery,2024,496
DGPV,2043,1422.932316
Bio,2016,180.65
Battery,2034,690
PV,2031,675.535
DGPV,2029,856.3401322
Bio,2017,180.65
Fossil,2037,1268.1825
Battery,2032,690
DGPV,2040,1296.609241
Battery,2035,858
Wind,2023,103
Battery,2022,496
Wind,2044,303
Battery,2025,525
Fossil,2044,1096.72
Fossil,2023,1374.7101
Bio,2030,222.92
Wind,2037,303
Fossil,2017,1327.101
DGPV,2042,1380.521312
Wind,2017,93
DGPV,2041,1338.418245
Bio,2023,222.92
Bio,2044,222.92
Fossil,2030,1300.0577
Bio,2037,222.92
Wind,2030,303